Country,Market,RetailPrice,WholesalePrice,Date
UGANDA,Mbale,1220,1106,2013-03-05
UGANDA,Lira,1258,1106,2013-03-05
UGANDA,Busia,1258,1182,2013-03-05
UGANDA,Kasese,1334,1296,2013-03-05
UGANDA,Owino,1296,1182,2013-03-04
UGANDA,Tororo,1296,1182,2013-03-04
UGANDA,Masindi,1296,1182,2013-03-04
UGANDA,Kabale,1296,1182,2013-03-04
UGANDA,Kasese,1334,1296,2013-03-04
UGANDA,Kampala,1296,1182,2013-03-04
UGANDA,Mbale,1220,1106,2013-03-04
UGANDA,Lira,1258,1106,2013-03-04
UGANDA,Busia,1258,1182,2013-03-04
